datestamp,subject,relation,identifier,rights,language,contributor,type,type - dcmi recommendation,description,source,title,creator,date,format,format - mediatype,format - subtype,publisher,coverage,record id
2020-10-07T13:30:10Z,nauki moralne - 18 w.,http://pbc.biaman.pl/Content/1265,clarind-uds:poldilemma-1265,CC BY NC SA,pol,,starodruk,text,ilość skanów: 197 ; sygn. S-79,,"Prawdy moralne theologiczne niektore Kazaniami, inne Kontrowersyami w Mińsku podczas [...] r. 1759 [...] missyi dominikanow po Xięstwie Litewskim predykujących dowiedzione. Na rozkaz sądzącego się tam wtedy Trybunału Głównego W.X.L. [...] wszystkie w kształcie kazan wydrukowane [...] 1760.","[Kochański, Dominik ]",1760-01-01T00:00:00Z,application/pdf,application,pdf,Drukarnia JKM y Rzeczypospolitey Scholarum Piarum,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-1265
,,,hdl:11858/00-246C-0000-0023-8CDA-C,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/143951,clarind-uds:poldilemma-143951,CC BY NC SA,lat,"Radliński, Jakub Paweł (ca 1680-1762). [Tł.]",starodruk,text,"Potocki, Józef (1673-1751). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 35187 I","Prawda Chrzescianska Od nieprzyiaciela swego Zeznana : To iest Traktat Rabina Samuela, Pokazuiący błędy żydowskie około zachowania Prawa Moyżeszowego, y przyścia Messyaszowego, ktorego żydzi [!] czekaią. [...]Prawda Chrzescianska Od nieprzyiaciela swego Zeznana : To iest Traktat Rabina Samuela, Pokazuiący błędy żydowskie około zachowania Prawa Moyżeszowego, y przyścia Messyaszowego, ktorego żydzi [!] czekaią. [...]",Samuel Rabi Marokański,1733-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Jezuitów,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-143951
,,oai:jbc.bj.uj.edu.pl:publication:152128,hdl:11858/00-246C-0000-0023-8CDC-8,CC BY NC SA,pol,,,,"Potocka, Ludwika (1712-1785). [Adr. ded.]",,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/148473,clarind-uds:poldilemma-148473,CC BY NC SA,pol,,starodruk,text,"Pstrokoński, Stanisław (ca 1591-1657). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 24745 I","Pamięc O Cnotach, Szczęsciv, Dzielnosci, Naiasnieyszego y Niezwyciezonego Monarchy Władysława IV.[...] Krola Polskiego, Wielkiego Xiążęcia Litewskiego [...] &c. &c. Dziedzicznego Krola [...]","Gorczyn, Jan Aleksander (ca 1618-post 1694)",1648-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Stanisława Bertutowicza,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-148473
,,oai:jbc.bj.uj.edu.pl:publication:156696,hdl:11858/00-246C-0000-0023-8CDD-6,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/148514,clarind-uds:poldilemma-148514,CC BY NC SA,pol,,starodruk,text,"Kęsowski, Aleksander (1590-1667). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 36825 I","Roża Z opatrzności Boskiey nową szatą odziana Abo Kazanie Przy Poświącaniu [!] Przewielebnego w Chrystusie Oyca, Ie[g]o M. X. Alexandra Bvcendorfa Kęssowskiego, Opata Oliwskiego W Kościele Kathedralnym Włocławskim","Damalewicz, Stefan (ca 1600-1673)",1642-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Franciszka Cezarego,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-148514
,,oai:jbc.bj.uj.edu.pl:publication:156737,hdl:11858/00-246C-0000-0023-8CDE-4,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/148515,clarind-uds:poldilemma-148515,CC BY NC SA,pol,,starodruk,text,"Zaremba, Stanisław (16..-1685). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 39089 I",Obrona Zacnych Y Poboznych Lvdzi : Ktorzy Zbrzydziwszy się Bluznierstwami sekty Arryanskiey abo Socynskiey do Kościoła się ś. Katholickiego vdali : przeciwko Paskwilowi od iakiegoś Ministra Arriańskiego przeciw nim napisanęmu y po Podgorzu rozsianęmu,"Cichowski, Mikołaj (1598-1669)",1661-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Franciszka Cezarego,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-148515
,,oai:jbc.bj.uj.edu.pl:publication:156741,hdl:11858/00-246C-0000-0023-8CDF-2,CC BY NC SA,lat,,,,,"Biblioteka Jagiellońska, BJ St. Dr. 39090 I","Z Namową Do Stanow Koronnych wniesioną, aby przy Konstytucyach przeciw Arryanom vchwalonych statecznie stali",,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/149590,clarind-uds:poldilemma-149590,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 18994 I","Inflanty W dawnych swych, y wielorakich aż do wieku naszego dziejach y rewolucyach; z wywodem godności y starożytności Szlachty tameczney, tudziesz praw, y wolności z dawna, y teraz jey służących Zebrane y Polskiemu światu do wiadomości w Oyczystyni języku Podane","Hylzen, Jan August (1702-1767)",1750-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Akademicka,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-149590
,,oai:jbc.bj.uj.edu.pl:publication:157832,hdl:11858/00-246C-0000-0023-8CE0-B,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,,http://pbc.biaman.pl/Content/4505,clarind-uds:poldilemma-149591,CC BY NC SA,pol,,starodruk,text,ilość skanów: 157 ; sygn. St-120,,Niektore wyrazy porządkiem abecadła zebrane y stosowanemi do rzeczy uwagami obiaśnione [...] Dzieło pogrobowe przez [...] napisane [...].,"Jezierski, Franciszek Salezy (1740-1791)",1791-01-01T00:00:00Z,application/xml,application,xml,M. Gröll,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-149591
,,,hdl:11858/00-246C-0000-0023-8CE1-9,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/150201,clarind-uds:poldilemma-150201,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 29970 I",Opisanie Podroży Z Warszawy Do Biłgoraia W Liscie Do Jasnie Oswieconego Xiążęcia Jmci Stanisława Poniatowskiego,"Krasicki, Ignacy (1735-1801)",1782-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Nadworna Jego Królewskiej Mości i Komisji Edukacji Narodowej,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-150201
,,oai:jbc.bj.uj.edu.pl:publication:158450,hdl:11858/00-246C-0000-0023-8CE2-7,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/153925,clarind-uds:poldilemma-153925,CC BY NC SA,pol,,starodruk,text,"Załuski, Józef Andrzej (1702-1774). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 390308 I",Załuszczyny Albo Zbior Rymow Oyczystych Wielkiemu Imieniowi Jasnie Wielmoznego [...] Jozefa Andrzeia Hrabi na Załuskach Junoszy Załuskiego [...] Biskupa Kiiowskiego Y Czerniechowskiego [...],"Minasowicz, Józef Epifani (1718-1796)",1773-01-01T00:00:00Z,application/xml,application,xml,s.n.,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-153925
,poezja polska 18 w.,oai:jbc.bj.uj.edu.pl:publication:162210,hdl:11858/00-246C-0000-0023-8CE3-5,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/158367,clarind-uds:poldilemma-158367,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 36931 I","Okvlary Wtore, Na ciemne y slepe oczy Ministrów","Łaszcz, Marcin (1551-1615)",1605-01-01T00:00:00Z,application/xml,application,xml,s.n.,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-158367
,,oai:jbc.bj.uj.edu.pl:publication:166689,hdl:11858/00-246C-0000-0023-8CE4-3,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/159646,clarind-uds:poldilemma-159646,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 9096 III/3","Mowa J. W. Jmci Pana Lipskiego, Kasztelana Łęczyckiego Na Sessyi Seymowey Dnia 28. Sierpnia 1776. Miana. : [Inc.:] Przypadek bez przykładu Rzpltey naszey daie nam słyszeć [...]","Lipski, Tadeusz (1725-1796)",1776-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Piotra Dufoura,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-159646
,,oai:jbc.bj.uj.edu.pl:publication:167980,hdl:11858/00-246C-0000-0023-8CE5-1,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/159981,clarind-uds:poldilemma-159981,CC BY NC SA,pol,,starodruk,text,Jan III Sobieski (król Polski ; 1629-1696). [Adr. ded.],"Biblioteka Jagiellońska, BJ St. Dr. 923 I","Classicvm Niesmiertelney Sławy, Jasnie Wielmoznych Wodzow Koronnych, Y Wielkiego Xięst: Litewskiego [...] : Po ßczęśliwey y niesłychaney Victoriey Pod Hocimiem [sic!], Dnia XI. Nouembra, Roku Pańskiego 1673. otrzymaney; Stylo Panegyrico, a Oyczystym Rytme[m] Opisane, Roku Pańskiego. 1674. Dnia 20. Marca.","Leszczyński, Samuel (1637-1676)",1674-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Krzysztofa Schedla,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-159981
,,oai:jbc.bj.uj.edu.pl:publication:168324,hdl:11858/00-246C-0000-0023-8CE6-0,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/162762,clarind-uds:poldilemma-162762,CC BY NC SA,pol,,starodruk,text,"Łahodowski, Jan (15..-1622). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 10796 I",Obraz Szlachcica Polskiego,"Kunicki, Wacław (1580-1653)",1615-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Dziedziców Jakuba Siebeneichera,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-162762
,,oai:jbc.bj.uj.edu.pl:publication:171125,hdl:11858/00-246C-0000-0023-8CE7-E,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/163378,clarind-uds:poldilemma-163378,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 25280 I","Chorągiew Tryumphalna troiaka, Szlachecka, Chrzescianska, Swieta. : Na Pogrzebie Zacnie Vrodzonego Iego Mości Pana, Pana Mikołaia z Czertwic Cetnera. W Kosciele Podkamienieckim Naswiętszey Panny Rozanca S. Przez W. O. Symona Okolskiego [...] ogłoszona: a do Druku [...] Roku 1644. Martij 12. podana","Okolski, Szymon (1580-1653)",1644-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Jezuitów,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-163378
,,oai:jbc.bj.uj.edu.pl:publication:171752,hdl:11858/00-246C-0000-0023-8CE8-C,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/163686,clarind-uds:poldilemma-163686,CC BY NC SA,pol,,starodruk,text,"Sulimirski, Piotr (16..-17..). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 586841 I",Kaznodzieia Odswiętny Abo Kazania Doroczne Na Dni Swiętych Bozych Uroczyste Krolowy Wszystkich Swiętych Poswęcone. Roku Panskiego 1721. Od X. Franciszka Kowalickiego Soc: Jesu.,"Kowalicki, Franciszek (1668-1730)",1721-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Jezuitów,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-163686
,,oai:jbc.bj.uj.edu.pl:publication:172065,hdl:11858/00-246C-0000-0023-8CE9-A,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,lausitz,,clarind-uds:genie,"Copyrighted, Registration necessary",dsb,Roland Marti,collection,collection,"The corpus GENIE-spoken Niedersorbisch/Wendisch gives acces to the spoken Variants of these languages via a databases. It presents one of the two only autochthone slavic minority languages in Germany, which is spoken in the Lausitz by less than 10,000 people in a native way, in acustic form. The language is endangered. It shows the development and changes due to the regional and temporal aspects of the language during the last decade. It provides spoken language material for scientific research especially in the area of phonetics. It includes 350 audio files with over 62 hours of selected niedersorbische speech recordings from different sources and eras. It provides detailed information for each recording, which makes it possible to search for recordings with specific characteristics The audio files are available uncompressed as .wav files and compressed as .mp3 files.",Archiv des Sorbischen Rundfunks: http://www.rbb-online.de/radio/sorbisches_programm/sorbisches_programm.html,GENIE – GEsprochenes NIEdersorbisch/Wendisch,"Roland Marti
FR 4.4 Slavistik
Universität des Saarlandes
Postfach 15 11 50
D–66041 Saarbrücken",2006-11-06T00:00:00Z,audio/x-wav,audio,x-wav,Lehrstuhl Phonetik (Fachrichtung 4.7) und Lehrstuhl Slavistik (Fachrichtung 4.4) der Philosophischen Fakultät II der Universität des Saarlandes,1951–2006,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:genie
,spoken language,,hdl:11858/00-246C-0000-0005-BD10-7,www.genie.coli.uni-saarland.de/cgi-bin/benutzer.html,,Holger von Rauch,,,"Das Korpus GENIE – GEsprochenes NIEdersorbisch/Wendisch macht das Niedersorbische/Wendische in seinen gesprochenen Varietäten durch eine Datenbank mit Webanwendung im Netz zugänglich. Es präsentiert in akustischer Form eine der beiden einzigen autochthonen slawischen Minderheitssprachen in Deutschland, die in der Lausitz von weniger als 10.000 Personen auf muttersprachlichem Niveau gesprochen wird und in ihrer Existenz bedroht ist. Es zeigt die Entwicklung und die regional und zeitlich bedingten Veränderungen in dieser Sprache im letzten Jahrhundert auf. Es stellt sprachliches Material für wissenschaftliche Untersuchungen, insbesondere auf dem Gebiet der Phonetik, zur Verfügung. Es enthält über 62 Stunden ausgewählte niedersorbische Sprachaufnahmen aus verschiedenen Quellen und Epochen in knapp 350 Audiodateien. Es liefert zu allen Aufnahmen ausführliche Informationen, über die gezielt nach Aufnahmen mit bestimmten Eigenschaften gesucht werden kann. Es hält alle Audiodateien sowohl unkompromiert als .wav-Dateien wie auch als komprimierte .mp3-Dateien zum Download bereit.",Bestände des Sorbischen Kulturarchivs im Serbski institut z.t.: http://www.serbski-institut.de/,,,,audio/mpeg,audio,mpeg,,Lausitz,
,dialect,,,,,Juro Frahnow,,,,,,,,,,,,,
,,,,,,Jutta Kaiser,,,,,,,,,,,,,
,,,,,,Helena Pallmann,,,,,,,,,,,,,
,,,,,,Marko Pallmann,,,,,,,,,,,,,
,,,,,,Olga Trifsik,,,,,,,,,,,,,
,,,,,,Bistra Andreeva,,,,,,,,,,,,,
,,,,,,William Barry,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,"Research report ""Building Parallel Treebanks for the Lesser-Resourced Languages""",clarind-uds:grug,CC BY,kat,Alla Mishchenko,dataset,dataset,"This dataset is made of two types of resources: four monolingual Treebanks (German, Georgian, Russian and Ukrainian), and four parallel Treebanks (German-Georgian, German-Russian, German-Ukrainian, Georgian-Ukrainian). The parallel texts used for the outlined experiment comprises German sentences and their translations into Georgian and Russian languages compiled for the GREG NLP lexicon project. The GREG itself contains valency data with the manually aligned Georgian, Russian, English and German verbs (ca. 1250) augmented with the examples of sentences considered as translation equivalents. Each subcorpus used for the study has a size of roughly 2600 sentence pairs that correspond to different syntactic subcategorization frames considered as German-Georgian translation equivalents. For the Russian and Ukrainian languages translation equivalents were provided by Dr. Alla Mishchenko. Morphological analysis For the Georgian text analyses has been applied a finitestate morphological transducer using the XEROX FST tools. For the rest of languages, German, Russian and Ukrainian, involved in the experiment, morphological features, including POS tags, were assigned manually drawing on the TIGER guidelines for the German language with the necessary changes relevant to the Russian and Ukrainian grammar formal description. Syntactic parsing The syntactical annotation was done manually with Synpathy. The annotation followed the TIGER guidelines and the outcome follows the TIGER-XML format. Alignment of monolingual Treebanks into parallel bilingual Treebanks The alignment of the monolingual (GO, RU, UK, GE) Treebanks into the bilingual (GE-GO, GE-RU, GE-UK, GO-UK) ones was done manually with Stockholm TreeAligner. The issue was performed at sentence, phrase and word level. Two types of translations are aligned: ""exact"" and ""fuzzy"" translation equivalents.","GREG NLP lexicon, A Georgian, Russian, English and German Valency Lexicon for Natural Language Processing: http://www2.informatik.uni-stuttgart.de/ivi/is/greg-index.html",GRUG Parallel Treebank,Oleg Kapanadze,2012-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Georgia,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:grug
,linguistics,"Slides ""A German-Georgian Treebank Project""",hdl:11858/00-246C-0000-0006-C150-9,,ukr,,,,,,,,,,,,,Ukraine,
,computational linguistics,XEROX Finite-State Tool: http://www.cis.upenn.edu/~cis639/docs/xfst.html,,,rus,,,,,,,,,,,,,Russia,
,treebank,TIGER-XML format: http://www.ims.uni-stuttgart.de/projekte/TIGER/TIGERSearch/doc/html/TigerXML.html,,,deu,,,,,,,,,,,,,Germany,
